Endpoint,HTTP Method,Status,Documented,Implemented,Match,Issues,Priority
/api/reports,POST,✅,Yes,Yes,Partial,"Response format differs, no tags","P2"
/api/reports,GET,✅,Yes,Yes,Partial,"No query parameters (sort, order, tag, search, limit, offset)","P2"
/api/reports/[id],GET,✅,Yes,Yes,Partial,"Wrong auth error code (403 vs 404), last_opened_at missing","P2"
/api/reports/[id],PATCH,✅,Yes,Yes,Partial,"Tags field not supported, no auto-save tracking","P2"
/api/reports/[id],DELETE,✅,Yes,Yes,Partial,"Wrong status code (204 vs 200), no JSON response body","P1"
/api/reports/[reportId]/documents,POST,❌,Yes,No,Complete Mismatch,"Critical: Endpoint is at /api/documents instead, wrong request format","P1"
/api/reports/[reportId]/documents,GET,❌,Yes,No,Not Implemented,"Missing entirely, prevents UI from listing documents","P1"
/api/documents/[id],GET,✅,Yes,Yes,Partial,"No user ownership check (security issue), response format differs","P2"
/api/documents/[id],PATCH,❌,Yes,No,Not Implemented,"Service layer has updateDocument() but no API endpoint","P1"
/api/documents/[id],DELETE,✅,Yes,Yes,Partial,"Wrong status code (204 vs 200), no JSON response body","P1"
/api/search,GET,❌,Yes,No,Not Implemented,"Missing entirely, search methods exist in service but no endpoint","P2"
/api/reports/[id]/tags,POST,❌,Yes,No,Not Implemented,"Database schema has ReportTag, but no service methods or API endpoints","P1"
/api/reports/[id]/tags,DELETE,❌,Yes,No,Not Implemented,"Database schema has ReportTag, but no service methods or API endpoints","P1"
/api/documents/[id]/tags,POST,❌,Yes,No,Not Implemented,"Database schema has DocumentTag, but no service methods or API endpoints","P1"
/api/documents/[id]/tags,DELETE,❌,Yes,No,Not Implemented,"Database schema has DocumentTag, but no service methods or API endpoints","P1"
/api/auth/signin,GET,✅,Yes,Yes,Partial,"Magic link only, OAuth (Google/LinkedIn) not implemented","P2"
/api/auth/signin/google,GET,❌,Yes,No,Not Implemented,"OAuth provider completely missing","P2"
/api/auth/signin/linkedin,GET,❌,Yes,No,Not Implemented,"OAuth provider completely missing","P2"
/api/auth/callback/[provider],GET,✅,Implicit,Yes,Partial,"Magic link works, OAuth callbacks not implemented","P2"
/api/auth/signout,POST,✅,Yes,Yes,Yes,"Implicit in NextAuth, works correctly","✅"
/api/auth/magic-link,POST,❌,Yes,No,Not Implemented,"NextAuth handles via EmailProvider instead of custom endpoint","P2"
/api/auth/magic-link/verify,GET,❌,Yes,No,Not Implemented,"NextAuth handles via callback instead of custom endpoint","P2"
